xmin,ymin,xmax,ymax,Object
132,801,667,827,o
347,770,403,792,o
698,724,761,748,o
605,722,693,745,o
698,684,759,708,o
600,682,693,705,o
698,644,750,665,total
650,642,693,665,o
698,603,761,628,o
631,602,693,625,o
516,531,571,555,o
693,530,756,555,o
606,530,655,552,o
205,529,498,593,o
20,529,140,555,o
606,467,656,489,o
692,464,742,489,o
516,464,578,489,o
205,463,507,527,o
21,463,198,489,o
712,435,760,457,o
613,435,687,460,o
522,435,601,457,o
313,435,409,460,o
91,435,136,457,o
718,356,779,380,o
480,347,542,387,o
481,306,520,328,date
554,296,779,341,o
734,261,779,283,o
480,248,537,287,o
15,225,277,256,ee
14,73,169,137,o
0,14,800,57,o
